"variant","date","proportion"
"BA.1",2022-04-01,0.0215123561384176
"BA.1",2022-04-02,0.0228041064557473
"BA.1",2022-04-03,0.0229222743143427
"BA.1",2022-04-04,0.00728634464980871
"BA.1",2022-04-05,0.0157991681075079
"BA.1",2022-04-06,0.00868340142691088
"BA.1",2022-04-07,0.0117142063030642
"BA.1",2022-04-08,0.00873324109013123
"BA.1",2022-04-09,0.00761704581846452
"BA.1",2022-04-10,0.00401449567570625
"BA.1",2022-04-11,0.00688464284095542
"BA.1",2022-04-12,0.00408307552646823
"BA.1",2022-04-13,0.00794328274227254
"BA.1",2022-04-14,0.000233705004235795
"BA.1",2022-04-15,0.00286064723731203
"BA.1",2022-04-16,0.00584779172004725
"BA.1",2022-04-17,0.00406691394313548
"BA.1",2022-04-18,0.00163441695559148
"BA.1",2022-04-19,0.00409600871943117
"BA.1",2022-04-20,0.000839919329639293
"BA.1",2022-04-21,0.00810153781328801
"BA.1",2022-04-22,0.00346420362610223
"BA.1",2022-04-23,0.0037952486315085
"BA.1",2022-04-24,0.00146483992204109
"BA.1",2022-04-25,0.00383543012669359
"BA.1",2022-04-26,0.00170427804276535
"BA.1",2022-04-27,0.00115154429992536
"BA.1",2022-04-28,0.00301399077178746
"BA.1",2022-04-29,0.00819584063641559
"BA.1",2022-04-30,0.00644976773633613
"BA.2",2022-01-03,0.00193932022168899
"BA.2",2022-01-04,0.00362360997078779
"BA.2",2022-01-05,0.00605771288625256
"BA.2",2022-01-06,0.00122005143810335
"BA.2",2022-01-07,0.0136291237082611
"BA.2",2022-01-08,0.0171761364070022
"BA.2",2022-01-09,0.0137782009691889
"BA.2",2022-01-10,0.0111961888907235
"BA.2",2022-01-11,0.00779083788660657
"BA.2",2022-01-12,0.0177075017330559
"BA.2",2022-01-13,0.0151541565010691
"BA.2",2022-01-14,0.0164807274148468
"BA.2",2022-01-15,0.0256893095637851
"BA.2",2022-01-16,0.0208682009865417
"BA.2",2022-01-17,0.0534508350923886
"BA.2",2022-01-18,0.0198111409481299
"BA.2",2022-01-19,0.036655505082383
"BA.2",2022-01-20,0.055681995403621
"BA.2",2022-01-21,0.0530054563642568
"BA.2",2022-01-22,0.0614666347019133
"BA.2",2022-01-23,0.0650306200158137
"BA.2",2022-01-24,0.0719548798713419
"BA.2",2022-01-25,0.111796718030565
"BA.2",2022-01-26,0.118209610148664
"BA.2",2022-01-27,0.11462991304703
"BA.2",2022-01-28,0.140312663782548
"BA.2",2022-01-29,0.139014857104944
"BA.2",2022-01-30,0.159931781568341
"BA.2",2022-01-31,0.163718991309447
"BA.2",2022-02-01,0.159708098618552
"BA.2",2022-02-02,0.155519663341502
"BA.2",2022-02-03,0.186564400822309
"BA.2",2022-02-04,0.176999290996826
"BA.2",2022-02-05,0.163842117386274
"BA.2",2022-02-06,0.230407982572787
"BA.2",2022-02-07,0.241721063506023
"BA.2",2022-02-08,0.307544002604207
"BA.2",2022-02-09,0.248548762877643
"BA.2",2022-02-10,0.267467644579177
"BA.2",2022-02-11,0.322561311957161
"BA.2",2022-02-12,0.28819353146818
"BA.2",2022-02-13,0.332570025208379
"BA.2",2022-02-14,0.335118295471245
"BA.2",2022-02-15,0.489428859755392
"BA.2",2022-02-16,0.419943311322648
"BA.2",2022-02-17,0.456760926391933
"BA.2",2022-02-18,0.480195294295226
"BA.2",2022-02-19,0.450230979301758
"BA.2",2022-02-20,0.52130995383729
"BA.2",2022-02-21,0.546885180012052
"BA.2",2022-02-22,0.564484945032518
"BA.2",2022-02-23,0.579873685263693
"BA.2",2022-02-24,0.621355585117321
"BA.2",2022-02-25,0.700921853248766
"BA.2",2022-02-26,0.709169561295975
"BA.2",2022-02-27,0.709374370399452
"BA.2",2022-02-28,0.740246192299963
"BA.2",2022-03-01,0.719535503823873
"BA.2",2022-03-02,0.720982897515114
"BA.2",2022-03-03,0.753909370514773
"BA.2",2022-03-04,0.757988326188133
"BA.2",2022-03-05,0.764283936133928
"BA.2",2022-03-06,0.855228901692713
"BA.2",2022-03-07,0.866147634358765
"BA.2",2022-03-08,0.824354675265392
"BA.2",2022-03-09,0.862037630505284
"BA.2",2022-03-10,0.878990286624866
"BA.2",2022-03-11,0.888520397004489
"BA.2",2022-03-12,0.886677187065199
"BA.2",2022-03-13,0.908643110083983
"BA.2",2022-03-14,0.91311040095276
"BA.2",2022-03-15,0.919910127228185
"BA.2",2022-03-16,0.928217802064034
"BA.2",2022-03-17,0.928310789306775
"BA.2",2022-03-18,0.94747499270619
"BA.2",2022-03-19,0.92929608851822
"BA.2",2022-03-20,0.960687392842261
"BA.2",2022-03-21,0.951558001646305
"BA.2",2022-03-22,0.9497481307427
"BA.2",2022-03-23,0.960483120349645
"BA.2",2022-03-24,0.954345501685358
"BA.2",2022-03-25,0.966175555075481
"BA.2",2022-03-26,0.970542999401257
"BA.2",2022-03-27,0.970140865966749
"BA.2",2022-03-28,0.974523573102733
"BA.2",2022-03-29,0.994516712287373
"BA.2",2022-03-30,0.984816935510656
"BA.2",2022-03-31,0.978008979976598
"BA.2",2022-04-01,0.977813349752757
"BA.2",2022-04-02,0.975313703866977
"BA.2",2022-04-03,0.977077724200969
"BA.2",2022-04-04,0.992146846506936
"BA.2",2022-04-05,0.983670673382932
"BA.2",2022-04-06,0.990939272478545
"BA.2",2022-04-07,0.986497055784896
"BA.2",2022-04-08,0.989467751253799
"BA.2",2022-04-09,0.990969155967441
"BA.2",2022-04-10,3.09310078503474e-21
"BA.2",2022-04-11,0.991468181390261
"BA.2",2022-04-12,0.993715978788628
"BA.2",2022-04-13,0.990181359069104
"BA.2",2022-04-14,0.999238650436481
"BA.2",2022-04-15,0.995637077326367
"BA.2",2022-04-16,0.994152194966406
"BA.2",2022-04-17,0.995701357324337
"BA.2",2022-04-18,0.997250558008152
"BA.2",2022-04-19,0.995350053040874
"BA.2",2022-04-20,0.998606911271205
"BA.2",2022-04-21,0.991898461756681
"BA.2",2022-04-22,0.995460615497335
"BA.2",2022-04-23,0.99490219571959
"BA.2",2022-04-24,0.996093555357275
"BA.2",2022-04-25,0.994176387442831
"BA.2",2022-04-26,0.997423119102513
